,Learning Rate,Epoch,Mean AUC,Weight Decay,%Acc
0,0.01,0.0,0.8486166007905137,1.0,0.0
1,0.01,1.0,0.9075757575757577,1.0,0.6635514018691588
2,0.01,2.0,0.94,1.0,0.6635514018691588
3,0.01,3.0,0.939901185770751,1.0,0.6635514018691588
4,0.01,4.0,0.8720223978919631,1.0,0.6635514018691588
5,0.01,5.0,0.8721212121212121,1.0,0.6635514018691588
6,0.01,6.0,0.9045454545454545,1.0,0.0
7,0.01,7.0,0.8361133069828722,1.0,0.6635514018691588
8,0.01,8.0,0.8882740447957839,1.0,0.0
9,0.01,9.0,0.9424242424242425,1.0,0.6635514018691588
10,0.01,0.0,0.78,0.01,0.009345794392523364
11,0.01,1.0,0.7230303030303031,0.01,0.04672897196261682
12,0.01,2.0,0.7430303030303032,0.01,0.102803738317757
13,0.01,3.0,0.8393939393939394,0.01,0.2616822429906542
14,0.01,4.0,0.8436363636363636,0.01,0.27102803738317754
15,0.01,5.0,0.8278787878787878,0.01,0.27102803738317754
16,0.01,6.0,0.8134848484848485,0.01,0.27102803738317754
17,0.01,7.0,0.7760606060606059,0.01,0.2803738317757009
18,0.01,8.0,0.8456587615283269,0.01,0.308411214953271
19,0.01,9.0,0.9389393939393941,0.01,0.308411214953271
20,0.01,0.0,0.8396969696969697,0.0001,0.5700934579439252
21,0.01,1.0,0.8994993412384715,0.0001,0.5700934579439252
22,0.01,2.0,0.9027272727272728,0.0001,0.4953271028037383
23,0.01,3.0,0.9805797101449275,0.0001,0.6542056074766355
24,0.01,4.0,0.9047957839262187,0.0001,0.6635514018691588
25,0.01,5.0,0.9281159420289856,0.0001,0.38317757009345793
26,0.01,6.0,0.8228260869565217,0.0001,0.3177570093457944
27,0.01,7.0,0.8679512516469038,0.0001,0.2336448598130841
28,0.01,8.0,0.8266666666666667,0.0001,0.37383177570093457
29,0.01,9.0,0.9181818181818181,0.0001,0.4766355140186916
30,0.001,0.0,0.9592424242424241,1.0,0.0
31,0.001,1.0,0.7832674571805006,1.0,0.45794392523364486
32,0.001,2.0,0.8916666666666667,1.0,0.514018691588785
33,0.001,3.0,0.8987878787878788,1.0,0.4953271028037383
34,0.001,4.0,0.8859288537549407,1.0,0.45794392523364486
35,0.001,5.0,0.9349077733860344,1.0,0.514018691588785
36,0.001,6.0,0.8701712779973648,1.0,0.4766355140186916
37,0.001,7.0,0.9352898550724638,1.0,0.48598130841121495
38,0.001,8.0,0.9266666666666665,1.0,0.4485981308411215
39,0.001,9.0,0.9545454545454546,1.0,0.48598130841121495
40,0.001,0.0,0.9190909090909092,0.01,0.514018691588785
41,0.001,1.0,0.8877272727272728,0.01,0.5046728971962616
42,0.001,2.0,0.8866930171277997,0.01,0.34579439252336447
43,0.001,3.0,0.9012121212121212,0.01,0.4766355140186916
44,0.001,4.0,0.9240909090909091,0.01,0.514018691588785
45,0.001,5.0,0.9493939393939396,0.01,0.4766355140186916
46,0.001,6.0,0.9084848484848485,0.01,0.4672897196261682
47,0.001,7.0,0.8821212121212121,0.01,0.411214953271028
48,0.001,8.0,0.894090909090909,0.01,0.4953271028037383
49,0.001,9.0,0.9384321475625823,0.01,0.42990654205607476
50,0.001,0.0,0.9244466403162056,0.0001,0.42990654205607476
51,0.001,1.0,0.9431818181818181,0.0001,0.42990654205607476
52,0.001,2.0,0.9457575757575757,0.0001,0.5233644859813084
53,0.001,3.0,0.9454545454545454,0.0001,0.21495327102803738
54,0.001,4.0,0.9216864295125166,0.0001,0.32710280373831774
55,0.001,5.0,0.9575757575757575,0.0001,0.14953271028037382
56,0.001,6.0,0.9527272727272728,0.0001,0.38317757009345793
57,0.001,7.0,0.9303030303030303,0.0001,0.5046728971962616
58,0.001,8.0,0.9443741765480895,0.0001,0.6261682242990654
59,0.001,9.0,0.9607575757575756,0.0001,0.6542056074766355
60,0.0001,0.0,0.9424242424242424,1.0,0.4485981308411215
61,0.0001,1.0,0.9595454545454547,1.0,0.6635514018691588
62,0.0001,2.0,0.9420289855072462,1.0,0.6542056074766355
63,0.0001,3.0,0.9884848484848484,1.0,0.6448598130841121
64,0.0001,4.0,0.9660606060606061,1.0,0.616822429906542
65,0.0001,5.0,0.9465019762845851,1.0,0.6635514018691588
66,0.0001,6.0,0.9353293807641633,1.0,0.6542056074766355
67,0.0001,7.0,0.9421870882740448,1.0,0.6635514018691588
68,0.0001,8.0,0.9415810276679842,1.0,0.6635514018691588
69,0.0001,9.0,0.9536363636363637,1.0,0.6355140186915887
70,0.0001,0.0,0.9383135704874834,0.01,0.6542056074766355
71,0.0001,1.0,0.9394927536231884,0.01,0.6635514018691588
72,0.0001,2.0,0.9478656126482214,0.01,0.6635514018691588
73,0.0001,3.0,0.9586956521739132,0.01,0.6635514018691588
74,0.0001,4.0,0.9521212121212121,0.01,0.5794392523364486
75,0.0001,5.0,0.9651910408432147,0.01,0.6635514018691588
76,0.0001,6.0,0.98,0.01,0.6635514018691588
77,0.0001,7.0,0.9374440052700922,0.01,0.6635514018691588
78,0.0001,8.0,0.9521212121212121,0.01,0.6635514018691588
79,0.0001,9.0,0.9382015810276679,0.01,0.6635514018691588
80,0.0001,0.0,0.8966139657444007,0.0001,0.19626168224299065
81,0.0001,1.0,0.9733333333333333,0.0001,0.5794392523364486
82,0.0001,2.0,0.9709090909090909,0.0001,0.6635514018691588
83,0.0001,3.0,0.9585046113306983,0.0001,0.6635514018691588
84,0.0001,4.0,0.9515151515151515,0.0001,0.6635514018691588
85,0.0001,5.0,0.9422727272727272,0.0001,0.6635514018691588
86,0.0001,6.0,0.9543939393939394,0.0001,0.6635514018691588
87,0.0001,7.0,0.9589196310935441,0.0001,0.6635514018691588
88,0.0001,8.0,0.9656060606060606,0.0001,0.6635514018691588
89,0.0001,9.0,0.9460408432147562,0.0001,0.6635514018691588
90,1e-05,0.0,0.9672727272727273,1.0,0.5514018691588785
91,1e-05,1.0,0.9412121212121213,1.0,0.6261682242990654
92,1e-05,2.0,0.9654545454545455,1.0,0.6542056074766355
93,1e-05,3.0,0.9375757575757575,1.0,0.5981308411214953
94,1e-05,4.0,0.9678458498023715,1.0,0.6635514018691588
95,1e-05,5.0,0.9531818181818181,1.0,0.6635514018691588
96,1e-05,6.0,0.9462911725955204,1.0,0.6635514018691588
97,1e-05,7.0,0.9400065876152833,1.0,0.6542056074766355
98,1e-05,8.0,0.9806060606060606,1.0,0.6542056074766355
99,1e-05,9.0,0.9833333333333333,1.0,0.6635514018691588
100,1e-05,0.0,0.9482279314888011,0.01,0.4485981308411215
101,1e-05,1.0,0.9557048748353095,0.01,0.5794392523364486
102,1e-05,2.0,0.9721212121212122,0.01,0.6261682242990654
103,1e-05,3.0,0.9353030303030303,0.01,0.6448598130841121
104,1e-05,4.0,0.9454545454545453,0.01,0.6448598130841121
105,1e-05,5.0,0.9612121212121213,0.01,0.6635514018691588
106,1e-05,6.0,0.9616666666666667,0.01,0.6635514018691588
107,1e-05,7.0,0.9637878787878787,0.01,0.6355140186915887
108,1e-05,8.0,0.9745718050065877,0.01,0.6074766355140186
109,1e-05,9.0,0.9533069828722002,0.01,0.6542056074766355
110,1e-05,0.0,0.9623188405797102,0.0001,0.6448598130841121
111,1e-05,1.0,0.9386561264822134,0.0001,0.48598130841121495
112,1e-05,2.0,0.9721212121212122,0.0001,0.6635514018691588
113,1e-05,3.0,0.9416666666666668,0.0001,0.6635514018691588
114,1e-05,4.0,0.9621080368906456,0.0001,0.6635514018691588
115,1e-05,5.0,0.9812121212121212,0.0001,0.6635514018691588
116,1e-05,6.0,0.9757575757575756,0.0001,0.6635514018691588
117,1e-05,7.0,0.9872727272727272,0.0001,0.6542056074766355
118,1e-05,8.0,0.9654018445322794,0.0001,0.6635514018691588
119,1e-05,9.0,0.9830303030303031,0.0001,0.6635514018691588
